,Name,Type,Rating,Delivery Time,Price
524,Bebe Di Rasoi - Punjabi,"North Indian, Punjabi, Biryani, Kebabs, Mughlai, Desserts, Beverages",4.0,33 MINS,300 FOR TWO
525,Hotel Real Taste,"Chinese, Indian, Mughlai",3.9,21 MINS,250 FOR TWO
526,Cafe Zam Zam,"Mughlai, North Indian, Chinese, Fast Food, Biryani",4.2,23 MINS,300 FOR TWO
527,Agra Hotel,"Mughlai, North Indian, Chinese",3.9,21 MINS,300 FOR TWO
528,Filli Bites,"American, Arabian, Grill, Tandoor",4.2,25 MINS,200 FOR TWO
529,New Burger Bites,"Burgers, Chinese, Fast Food, Street Food",3.7,24 MINS,300 FOR TWO
530,Kareem's - No Connection with KARIM'S Jama Masjid/ Delhi,"Mughlai, North Indian, Maharashtrian, Biryani, Kebabs, Tandoor, Beverages",3.8,30 MINS,450 FOR TWO
531,Srinidhi Veg,"North Indian, South Indian, Chinese",4.3,22 MINS,350 FOR TWO
532,BKC- Biryani Kebab and Curries,"Biryani, Mughlai",3.7,22 MINS,300 FOR TWO
533,Mountain High,"Indian, Chinese, Tandoor, Biryani, North Indian",4.2,31 MINS,600 FOR TWO
534,Haldiram's Restaurant,"Chaat, North Indian, South Indian, Desserts, Fast Food, Beverages",4.2,25 MINS,300 FOR TWO
535,Madinah,"Mughlai, North Indian, Chinese, Biryani",4.0,19 MINS,400 FOR TWO
536,Fried Chicken Destination,North Indian,3.8,32 MINS,200 FOR TWO
537,Gulbarga Tahari And Biryani,Biryani,4.0,19 MINS,250 FOR TWO
538,Sufiz Bake House,"Bakery, Desserts",3.8,20 MINS,300 FOR TWO
539,Uncle's Chinese,"Chinese, Thai, Indonesian, Beverages, Desserts",4.2,34 MINS,450 FOR TWO
540,Bebe Di Rasoi - Punjabi,"North Indian, Punjabi, Biryani, Kebabs, Mughlai, Desserts, Beverages",3.9,26 MINS,300 FOR TWO
541,Varuna Pure Veg,"North Indian, Punjabi, Chinese, Biryani",4.0,21 MINS,250 FOR TWO
542,Apricot Veg,"Chinese, North Indian",4.1,25 MINS,350 FOR TWO
543,Oye Kiddan,"North Indian, Punjabi, Thalis",4.1,29 MINS,250 FOR TWO
544,Pizza Hut,Pizzas,3.5,28 MINS,350 FOR TWO
545,Garvaa Biryani - Wakad,Biryani,3.6,21 MINS,250 FOR TWO
546,Malvan Samudraa,"Seafood, Malwani",4.0,21 MINS,500 FOR TWO
547,La Pino'z Pizza,"Italian, Mexican",3.7,19 MINS,200 FOR TWO
548,Radha Krishna Pure Veg(Hinjewadi),"North Indian, Chinese, South Indian",4.0,27 MINS,300 FOR TWO
549,Lucknow Meri Jaan,"Mughlai, Lucknowi",3.9,32 MINS,400 FOR TWO
