,Name,Type,Rating,Delivery Time,Price
2665,Relax Pure Veg,"North Indian, Snacks",3.7,23 MINS,200 FOR TWO
2666,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",4.6,23 MINS,200 FOR TWO
2667,Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",--,25 MINS,200 FOR TWO
2668,Tiranga Budhwar peth (Main Branch),"Biryani, Maharashtrian, North Indian",3.7,22 MINS,400 FOR TWO
2669,HINDAVI SWARAJYA CHICKEN SHAWARMA,Arabian,--,25 MINS,150 FOR TWO
2670,Faasos' Signature Wraps & Rolls,"Snacks, Beverages, Desserts, Indian",--,26 MINS,350 FOR TWO
2671,Veg Daawat by Behrouz,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",--,23 MINS,500 FOR TWO
2672,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",4.0,68 MINS,200 FOR TWO
2673,Little Monkey Cafe,"Pizzas, Beverages, Salads",3.9,68 MINS,250 FOR TWO
2674,The Continental Bakery,Bakery,3.5,53 MINS,150 FOR TWO
2675,Javeed hotel,"Biryani, Indian",3.9,62 MINS,200 FOR TWO
2676,Surabhi Food Fort,"Bakery, Fast Food",3.7,59 MINS,200 FOR TWO
2677,Five Star Restaurant,"Fast Food, Indian",3.1,68 MINS,100 FOR TWO
2678,PIZZA ESTATE,"North Indian, Chinese",3.1,80 MINS,300 FOR TWO
2679,Thirumala Biryani Center	,Chinese,--,58 MINS,100 FOR TWO
2680,Cake House,Bakery,3.8,71 MINS,150 FOR TWO
2681,Kbr Crispy Chicken,"Snacks, Indian",--,62 MINS,100 FOR TWO
2682,The Belgiam Waffles Hub,"Desserts, Ice Cream, Beverages",--,54 MINS,160 FOR TWO
2683,Jagadish Ghee Sweets,"Desserts, Sweets",3.4,54 MINS,150 FOR TWO
2684,Rice Box,Indian,2.8,82 MINS,300 FOR TWO
2685,Millet Mantra,South Indian,--,74 MINS,199 FOR TWO
2686,HOTEL GAYATRI GRAND,"Chinese, Indian",3.8,62 MINS,700 FOR TWO
2687,NIC Ice Creams,"Ice Cream, Desserts",4.5,58 MINS,120 FOR TWO
2688,Anna Dosa ,South Indian,4.2,26 MINS,200 FOR TWO
2689,Oye Hoye Paajee!,"Thalis, Combo, Indian, Chinese",3.2,28 MINS,200 FOR TWO
2690,Yummiliciouis Cakes N More,"Desserts, Bakery",4.0,33 MINS,350 FOR TWO
2691,BOX8 - Desi Meals,"North Indian, Biryani, Thalis, Home Food",4.1,19 MINS,250 FOR TWO
2692,SHAWARMA N BURGER JUNCTION,"Lebanese, Fast Food",4.0,19 MINS,200 FOR TWO
2693,Homely Freshly Daily,Thalis,3.6,29 MINS,200 FOR TWO
2694,VAGHESHWAR PURE VEG,"Punjabi, Snacks, Fast Food",--,27 MINS,300 FOR TWO
2695,FRIES AND MORE,"Snacks, Burgers, Beverages",--,20 MINS,155 FOR TWO
2696,Someshwar Bhel Wagholi,"South Indian, North Indian",4.2,22 MINS,300 FOR TWO
2697,Journey Restaurant,"North Indian, Chinese, Continental, Oriental",--,23 MINS,700 FOR TWO
2698,RSR Biryani House,Biryani,--,23 MINS,400 FOR TWO
2699,The Tasty Tiffin,"North Indian, Chinese",3.9,26 MINS,200 FOR TWO
2700,Ranwara Family Restaurant,"Thalis, North Indian, Maharashtrian, Biryani, Chinese",3.8,25 MINS,500 FOR TWO
2701,Cake Galaxy,"Bakery, Desserts",--,28 MINS,600 FOR TWO
2702,A J SNACKS,"Snacks, Indian",--,27 MINS,150 FOR TWO
2703,Great Indian Khichdi by EatFit,"Indian, Home Food, Healthy Food, Snacks",4.5,21 MINS,200 FOR TWO
2704,The Momo Panda,Tibetan,4.3,26 MINS,200 FOR TWO
2705,Meet Cakes,Bakery,--,29 MINS,400 FOR TWO
2706,Royal Multi-Cuisine,"North Indian, Chinese",4.4,37 MINS,300 FOR TWO
2707,Bhawarji Sweets And Namkeens,"Sweets, Snacks",--,30 MINS,500 FOR TWO
2708,Monika's kitchen,"North Indian, Chinese",--,32 MINS,515 FOR TWO
2709,S'Dosa Village	,South Indian,--,26 MINS,250 FOR TWO
2710,Assal Amravati Mh27,"North Indian, Maharashtrian, Snacks, Beverages, Tandoor",4.0,39 MINS,200 FOR TWO
2711,CHASKA CHINESE RESTAURANT,Chinese,--,24 MINS,280 FOR TWO
2712,Kondhalkar Mastani House,"Beverages, Ice Cream",4.2,37 MINS,200 FOR TWO
2713,Pizza & Soup,"Italian, Pizzas, Fast Food",--,37 MINS,500 FOR TWO
2714,Pizza Castles,"Pizzas, Fast Food, Italian, American, Burgers",3.5,35 MINS,200 FOR TWO
2715,Ganesh Bhel,Street Food,4.2,32 MINS,100 FOR TWO
2716,Darshan,"Italian, Chinese, Continental, Desserts, Chaat, Indian, North Indian, Juices, Me...",4.5,40 MINS,550 FOR TWO
2717,NIC Ice Creams,"Ice Cream, Desserts",4.8,16 MINS,120 FOR TWO
2718,Filli Bites,"American, Arabian, Grill, Tandoor",4.2,38 MINS,200 FOR TWO
2719,Dawat E Shawarma,"Arabian, Chinese, Snacks",3.4,36 MINS,200 FOR TWO
2720,Cafe Arabia,"Lebanese, Middle Eastern, Mediterranean",4.4,27 MINS,500 FOR TWO
2721,Hotel Sangam Khandesh Katta,Maharashtrian,4.2,23 MINS,400 FOR TWO
2722,The Arabian Grills,"Arabian, Chinese, Continental, Beverages, Healthy Food, Fast Food, Biryani, Snac...",4.2,25 MINS,300 FOR TWO
2723,Cupameal,"North Indian, Indian, Snacks",4.1,26 MINS,200 FOR TWO
2724,R K Kitchen,"Beverages, Indian, Snacks",4.4,29 MINS,200 FOR TWO
2725,Bhatti Chicken Wings,"North Indian, Snacks, Fast Food, Tandoor",--,25 MINS,250 FOR TWO
2726,Mealful Rolls - India's Biggest Rolls,"Fast Food, Snacks, North Indian, Desserts",--,24 MINS,250 FOR TWO
2727,Burger Craft,American,4.4,21 MINS,800 FOR TWO
2728,Itminaan Matka Biryani - Slow Cooked,"Biryani, North Indian, Mughlai",3.9,31 MINS,250 FOR TWO
2729,Marrakesh,"Lebanese, Arabian, Afghani, Mughlai, Mediterranean, North Indian, Biryani, Kebab...",3.9,26 MINS,350 FOR TWO
2730,Hotel Chandrama,"Chinese, Fast Food, Beverages",4.3,26 MINS,300 FOR TWO
2731,Crazy momos,"Fast Food, Beverages",4.2,24 MINS,200 FOR TWO
2732,MH 12 Pav Bhaji,"Fast Food, Street Food, Snacks, Beverages, Indian",4.2,23 MINS,200 FOR TWO
2733,Wow! Momo,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",4.0,25 MINS,200 FOR TWO
2734,MM Restaurant,"Indian, Chinese",4.0,27 MINS,200 FOR TWO
2735,Archana pure veg,"Indian, Continental",--,26 MINS,250 FOR TWO
2736,Test Of Maharashtra,Indian,--,26 MINS,250 FOR TWO
2737,Gopi Kishan Meal's,Indian,--,26 MINS,250 FOR TWO
2738,Burger Hub,"Beverages, Combo",--,25 MINS,250 FOR TWO
2739,Garvaa Biryani - Wakad,Biryani,3.6,27 MINS,250 FOR TWO
2740,The Chinese Monk,"Chinese, Beverages",4.3,27 MINS,200 FOR TWO
2741,HOTEL NISARG MISAL HOUSE,"Snacks, Beverages",3.8,20 MINS,190 FOR TWO
2742,Good Food Roll House,"North Indian, Chinese",4.1,27 MINS,350 FOR TWO
2743,THE BURGER HOUSE,"Burgers, Fast Food, Pizzas",--,27 MINS,180 FOR TWO
2744,Hotel Rajratna,"North Indian, Chinese, Seafood",4.0,20 MINS,550 FOR TWO
2745,Kanhaiyya Pure Veg,"North Indian, Chinese, Maharashtrian, Tandoor",3.5,32 MINS,250 FOR TWO
2746,Chinese Wok,"Chinese, Asian, Tibetan, Desserts",3.5,26 MINS,300 FOR TWO
2747,Food Express MH 14,Chinese,--,26 MINS,250 FOR TWO
2748,EAGLE BOYS PIZZERIA AND CAFE,"Pizzas, Pastas, Desserts, Beverages",3.9,23 MINS,400 FOR TWO
2749,Annapoorna,"Chinese, South Indian, North Indian, Continental, Desserts, Italian, Beverages",4.3,25 MINS,400 FOR TWO
2750,Haldiram's Restaurant,"Chaat, South Indian, North Indian, Beverages",4.1,28 MINS,300 FOR TWO
2751,Shree Swamisneh Dinning Hall,"Indian, Beverages",4.3,26 MINS,500 FOR TWO
2752,Neha's Yummy Cafe,Fast Food,--,27 MINS,250 FOR TWO
2753,Aatithya,"North Indian, Chinese, Tandoor, Fast Food, Beverages",--,27 MINS,350 FOR TWO
2754,Granny Ammaas Cake,"Desserts, Bakery",3.7,30 MINS,300 FOR TWO
2755,Rolls Mania,Fast Food,4.3,28 MINS,200 FOR TWO
2756,Malhar Khanaval,"Maharashtrian, Thalis, Biryani, Indian, Beverages, Seafood",3.2,22 MINS,200 FOR TWO
2757,Haldiram's Restaurant,"Chaat, North Indian, South Indian, Fast Food, Beverages, Desserts",4.3,26 MINS,300 FOR TWO
2758,Hotel Yatrik,"Indian, South Indian",4.0,30 MINS,500 FOR TWO
2759,Bamboo House,"Mughlai, North Indian, Continental",4.4,27 MINS,1000 FOR TWO
2760,Sukanta,Maharashtrian,3.9,26 MINS,700 FOR TWO
2761,Rajeshwari Snacks,"Snacks, South Indian, Beverages",--,27 MINS,200 FOR TWO
2762,The Momo Panda,"Fast Food, Tibetan",4.2,30 MINS,200 FOR TWO
2763,Firangi Bake,"Italian, Mexican, Pastas",4.3,29 MINS,400 FOR TWO
2764,Nawabi Zaika,"Chinese, North Indian, Biryani",3.5,24 MINS,550 FOR TWO
2765,Poona Cafe,"North Indian, Chinese, South Indian",4.4,29 MINS,200 FOR TWO
2766,Red Panda Chinese,Chinese,--,31 MINS,200 FOR TWO
2767,Hotel Atithi Pure Veg,"Chinese, Indian, Tandoor, Snacks, Beverages",--,27 MINS,380 FOR TWO
2768,Burger point,Fast Food,4.4,35 MINS,150 FOR TWO
2769,KKS KITCHEN,"Indian, Chinese, Biryani, Kebabs",3.0,41 MINS,400 FOR TWO
2770,TEA TIME,Beverages,--,46 MINS,200 FOR TWO
2771,CHINESE CASTLE,"North Indian, Chinese",3.0,39 MINS,350 FOR TWO
2772,BLACK CHICKEN,Chinese,--,39 MINS,300 FOR TWO
2773,FOOD MALL,"North Indian, Chinese",--,39 MINS,300 FOR TWO
2774,Red Dragon Chinese,Chinese,--,39 MINS,150 FOR TWO
2775,Milky vibes,Beverages,--,39 MINS,200 FOR TWO
2776,Food Express,"Chinese, Indian",--,39 MINS,200 FOR TWO
2777,Chulbul Dhaba,"North Indian, Punjabi",4.0,37 MINS,200 FOR TWO
2778,Maitri Snacks and Dosa Centre,South Indian,--,41 MINS,200 FOR TWO
2779,South Cafe,South Indian,--,40 MINS,200 FOR TWO
2780,Kadam's Famous Vadapav Center,"Snacks, South Indian",4.7,35 MINS,100 FOR TWO
2781,Engineers Katta,North Indian,3.4,39 MINS,200 FOR TWO
2782,The Momos Point,"Chinese, Snacks",--,39 MINS,200 FOR TWO
2783,The egg time,Indian,--,42 MINS,250 FOR TWO
2784,Hc Chinese Restaurant And Cafe	,Chinese,--,48 MINS,300 FOR TWO
2785,ZAZA 22 Spice Biryani,"Biryani, North Indian, Awadhi",3.5,47 MINS,250 FOR TWO
2786,Sujata Mastani,Desserts,4.2,38 MINS,200 FOR TWO
2787,V BAKES,"Desserts, Bakery",--,44 MINS,200 FOR TWO
2788,The Taste,"North Indian, Chinese",4.2,45 MINS,350 FOR TWO
2789,Bhatti Chicken Wings,"North Indian, Snacks, Fast Food, Tandoor",--,52 MINS,250 FOR TWO
2790,Shivneri Misal,"Snacks, Beverages",--,48 MINS,300 FOR TWO
2791,Lehza Veg Divine,North Indian,3.8,44 MINS,200 FOR TWO
2792,Samarth Mess Pure Veg,Thalis,--,60 MINS,250 FOR TWO
2793,Anna Dosa ,South Indian,4.2,46 MINS,200 FOR TWO
2794,Biryani Paradise By Hanggout,Biryani,--,47 MINS,300 FOR TWO
2795,Saharsh Cloud Kitchen,"North Indian, Fast Food, Burgers, Beverages",--,48 MINS,400 FOR TWO
2796,Homely Freshly Daily,Thalis,3.6,49 MINS,200 FOR TWO
2797,The Tasty Tiffin,"North Indian, Chinese",3.9,46 MINS,200 FOR TWO
2798,Mr.Chang's Chinese,"Asian, Chinese, Oriental",4.1,46 MINS,200 FOR TWO
2799,The D Pizza,"Pizzas, Fast Food, Desserts",--,51 MINS,200 FOR TWO
2800,Little China,"Chinese, Healthy Food, North Indian, Biryani",--,35 MINS,350 FOR TWO
2801,Punjabi Rasoi,"Chinese, Biryani, North Indian",--,35 MINS,400 FOR TWO
2802,Shiv Pure Veg,"Indian, Biryani, Chinese, North Indian, Healthy Food",--,35 MINS,300 FOR TWO
2803,Kolhapuri Pahuner,"Biryani, Maharashtrian, Thalis",--,30 MINS,300 FOR TWO
2804,Hotel Vaishnavi,"North Indian, Beverages, Biryani",--,45 MINS,400 FOR TWO
2805,Aarohi Veg-Non-veg,"Chinese, Snacks",--,35 MINS,400 FOR TWO
2806,Cake Town,Bakery,--,30 MINS,350 FOR TWO
2807,Momotarian - By Food Lounge	,Indian,--,30 MINS,250 FOR TWO
2808,Hotel Pragati,"North Indian, Chinese",3.8,32 MINS,500 FOR TWO
2809,Hotel Sitai,"Chinese, North Indian",3.8,31 MINS,700 FOR TWO
2810,Pizza Hut,Pizzas,3.8,39 MINS,350 FOR TWO
2811,ARAMBHA VEG NON VEG,"Indian, Biryani, Chinese, Tandoor",3.3,32 MINS,300 FOR TWO
2812,Hotel MH-24,"Chinese, Fast Food, Tandoor",--,36 MINS,150 FOR TWO
2813,HOTEL GOLDEN TEST,"Chinese, Indian, Tandoor",--,35 MINS,150 FOR TWO
2814,Hotel Apulki Veg Non Veg,"North Indian, Chinese, Biryani, Thalis",--,37 MINS,250 FOR TWO
2815,Schezwan Hut Chinese Cuisine,"Chinese, North Indian",3.7,33 MINS,300 FOR TWO
2816,Famous Anda Bhurji,North Indian,4.1,28 MINS,150 FOR TWO
2817,Winni Cakes & More,"Bakery, Desserts, Fast Food",--,29 MINS,300 FOR TWO
2818,Fudo,"Beverages, Italian, Fast Food",--,27 MINS,299 FOR TWO
2819,House of Pav Bhaji by GaramTawa Bistro,Street Food,2.7,35 MINS,100 FOR TWO
2820,Image Family Restaurant,"North Indian, Chinese, Snacks, Kebabs, Seafood, Pastas",--,29 MINS,400 FOR TWO
2821,BOX8 - Desi Meals,"North Indian, Biryani, Thalis, Home Food",4.1,26 MINS,250 FOR TWO
2822,Khandeshi darbar,Maharashtrian,3.7,33 MINS,300 FOR TWO
2823,Patlacha Wada,"North Indian, Italian, Chinese, Maharashtrian",4.2,37 MINS,500 FOR TWO
2824,Shandaar Shawarma,Indian,4.4,34 MINS,300 FOR TWO
2825,1BHK Superbar,"North Indian, Italian, European, Continental",--,32 MINS,2000 FOR TWO
2826,Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.9,27 MINS,160 FOR TWO
2827,Taco Bell,Mexican,4.2,32 MINS,300 FOR TWO
2828,Itminaan Matka Biryani - Slow Cooked,"Biryani, North Indian, Mughlai",3.5,35 MINS,250 FOR TWO
2829,Ghar Ka Khana,"North Indian, Punjabi, Thalis, Chinese, Home Food",4.0,28 MINS,400 FOR TWO
2830,Tatva-The Vegetarian Cuisine,"North Indian, South Indian, Continental, Chinese, Desserts, Beverages",4.2,35 MINS,500 FOR TWO
2831,La Cherie,"Bakery, Desserts",4.4,25 MINS,500 FOR TWO
2832,HOTEL SAGAR,"Chinese, Kebabs, Biryani",--,36 MINS,150 FOR TWO
2833,Mauli Bhel,"Chaat, Snacks",--,32 MINS,100 FOR TWO
2834,Green Woods,"South Indian, North Indian, Fast Food",3.9,33 MINS,300 FOR TWO
2835,CHOUDHARI DHABA,"North Indian, Indian",3.3,33 MINS,300 FOR TWO
2836,Al-Baik,Chinese,--,35 MINS,200 FOR TWO
2837,Only Starters,"Chinese, Biryani, Kebabs",--,32 MINS,400 FOR TWO
2838,RTS Cafe,"American, Fast Food, Italian",4.3,34 MINS,200 FOR TWO
2839,DREAM BIRYANI HOUSE,"Biryani, Indian, Tandoor, Snacks",--,37 MINS,200 FOR TWO
2840,Tasty Food Centre,"Snacks, Pizzas",--,46 MINS,300 FOR TWO
2841,Shalimar Hotel,"Indian, Biryani, Chinese",--,37 MINS,500 FOR TWO
2842,Laziz Restaurant,"North Indian, Biryani, Chinese, Kebabs, Snacks",--,37 MINS,500 FOR TWO
2843,McCafe by McDonald's,"American, Beverages, Desserts",--,27 MINS,250 FOR TWO
2844,Chole King,Indian,4.1,33 MINS,80 FOR TWO
2845,Hotel Taj,"North Indian, Biryani, Chinese, Mughlai, Punjabi, Kebabs, Beverages, Tandoor",3.1,36 MINS,300 FOR TWO
2846,NAWABI ZAIKA,"North Indian, Biryani, Chinese, Mughlai, Punjabi, Kebabs, Beverages, Tandoor",2.7,37 MINS,300 FOR TWO
2847,HOTEL JEEVAN THE WORLD OF VEG,"Indian, Chinese, Maharashtrian, Tandoor, Snacks",3.7,38 MINS,200 FOR TWO
2848,New Ashoka Pure Veg,"North Indian, South Indian",3.9,30 MINS,350 FOR TWO
2849,Anaya Family Restaurant (Kerala),"North Indian, South Indian, Tandoor",4.3,33 MINS,350 FOR TWO
2850,Celebration Restaurant and Bar,"North Indian, Chinese, Seafood, Mughlai",4.4,25 MINS,600 FOR TWO
2851,The Pizza Room,"Italian, Pizzas, Snacks",3.7,22 MINS,300 FOR TWO
2852,KNS Xprs,"Tandoor, Biryani, North Indian, Chinese",--,31 MINS,200 FOR TWO
2853,Apricot Veg,"Chinese, North Indian",4.1,33 MINS,350 FOR TWO
2854,KARMA KITCHEN PUNE,"North Indian, Maharashtrian, Gujarati, Rajasthani, Snacks",4.1,26 MINS,400 FOR TWO
2855,It'S Dr.Espresso,Beverages,--,25 MINS,220 FOR TWO
2856,Cafe Chocolicious,"Fast Food, Italian, Beverages",2.9,24 MINS,300 FOR TWO
2857,DESI HANDI,"North Indian, Biryani, Chinese",3.6,25 MINS,350 FOR TWO
2858,The Chinese Monk,"Chinese, Beverages",4.3,30 MINS,200 FOR TWO
2859,Kunal Restaurant and Bar,"Chinese, North Indian",3.5,28 MINS,200 FOR TWO
2860,Shawarma Culture,Snacks,2.5,22 MINS,200 FOR TWO
2861,La Pino'z Pizza,"Pizzas, Beverages",3.6,27 MINS,500 FOR TWO
2862,The Szechuan Shack,"Indian, Chinese",3.8,30 MINS,400 FOR TWO
2863,Al Madina Biryani House,"Biryani, Chinese, Indian",3.2,24 MINS,400 FOR TWO
2864,Chinese Hut,Chinese,4.1,40 MINS,200 FOR TWO
2865,Bakies Bakery & Cafe,Burgers,--,44 MINS,200 FOR TWO
2866,Pragati chinese Nonveg,"Chinese, Snacks",--,45 MINS,250 FOR TWO
2867,Hotel Samudra,"Indian, Maharashtrian, Thalis",--,44 MINS,350 FOR TWO
2868,Hotel Sai Dhaba,"Indian, Biryani, Fast Food",--,41 MINS,400 FOR TWO
2869,Hotel Preeti Executive,"Indian, Continental, Desserts, Italian",--,44 MINS,300 FOR TWO
2870,Hotel Sai Samrat Resort,North Indian,4.4,46 MINS,200 FOR TWO
2871,All India Bhel & Chat,"Chaat, Street Food, Beverages",--,44 MINS,150 FOR TWO
2872,Samarth Spring Potato,Snacks,--,46 MINS,100 FOR TWO
2873,Sunny Resto,Chinese,--,48 MINS,150 FOR TWO
2874,The Chapati House,Maharashtrian,4.5,48 MINS,50 FOR TWO
2875,Friends Kabab Corner,"Kebabs, Biryani, Chinese",--,-- MINS,300 FOR TWO
2876,Shwetali Kitchen,"Indian, South Indian, Snacks",--,-- MINS,200 FOR TWO
2877,Ashpura Bhojanalaya,"North Indian, Indian, Thalis",--,24 MINS,200 FOR TWO
2878,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",4.4,19 MINS,200 FOR TWO
2879,Hotel Hindavi	,"North Indian, Chinese, Tandoor, Biryani",--,23 MINS,300 FOR TWO
2880,Grameen Kulfi,"Ice Cream, Desserts",4.8,18 MINS,120 FOR TWO
2881,Faasos - Wraps & Rolls,"Fast Food, North Indian, Street Food, Desserts",4.1,23 MINS,200 FOR TWO
2882,Shreeji Pure Veg (Bharti Vidhyapith),"North Indian, Chinese, South Indian, Fast Food",4.0,29 MINS,300 FOR TWO
2883,Pan Biryani,"Biryani, Arabian, Lebanese, Beverages",--,29 MINS,200 FOR TWO
2884,Atithi Restaurant,"North Indian, Punjabi",4.0,33 MINS,350 FOR TWO
2885,Akshay Court,"North Indian, Chinese, Seafood, Biryani",--,27 MINS,550 FOR TWO
2886,Vidhi pure veg chinese corner,Chinese,--,20 MINS,300 FOR TWO
2887,Tiranga,"Maharashtrian, Biryani, North Indian, Tandoor",4.0,23 MINS,750 FOR TWO
2888,Bhujbal Bandhu Hotel Apulki,Maharashtrian,3.5,29 MINS,300 FOR TWO
2889,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",4.3,25 MINS,500 FOR TWO
2890,S.A Dosa Cafe,South Indian,4.6,21 MINS,300 FOR TWO
2891,Cafe Peter,"Italian, Continental, Korean",4.3,25 MINS,300 FOR TWO
2892,The village corner,"Cafe, Fast Food",--,29 MINS,200 FOR TWO
2893,Kalika Dairy & Sweets,"Sweets, Snacks, Street Food",4.6,22 MINS,350 FOR TWO
2894,Homely Meals @69,Home Food,3.7,25 MINS,150 FOR TWO
2895,Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",3.4,33 MINS,600 FOR TWO
2896,Sandwich & Burger Point,"American, Italian, Fast Food",--,29 MINS,300 FOR TWO
2897,Vishal Restaurant,"North Indian, Indian, Punjabi, Tandoor, Chinese, Biryani, Kerala, Snacks, Bevera...",4.0,26 MINS,200 FOR TWO
2898,Wow! Momo,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",4.0,26 MINS,300 FOR TWO
2899,The Paratha House,North Indian,4.3,26 MINS,100 FOR TWO
2900,Canteen Central by Eatfit,"Street Food, Fast Food, North Indian, Italian, Snacks, Burgers, Beverages, Desse...",3.8,23 MINS,250 FOR TWO
2901,Italian Pizza Shop,"Italian, American, Fast Food",--,33 MINS,400 FOR TWO
2902,Fast Food Express,"Italian-American, Fast Food, Snacks",--,28 MINS,400 FOR TWO
2903,Pizzabar Express,"Pizzas, Italian-American, Snacks, Fast Food, Beverages",--,28 MINS,350 FOR TWO
2904,Pizza Pie Cafe,"Pizzas, Italian-American, Snacks, Fast Food, Beverages",--,28 MINS,400 FOR TWO
2905,Pizzaria.com,"Pizzas, Italian-American, Snacks, Fast Food, Beverages",--,28 MINS,300 FOR TWO
2906,Dk's Pizza & Burger Palace,"Pizzas, Italian, Fast Food",--,21 MINS,300 FOR TWO
2907,World of Pizza & Burger,"Pizzas, Italian, Fast Food, American",--,28 MINS,350 FOR TWO
2908,The Momo Xpress,"Fast Food, Tibetan",3.2,33 MINS,200 FOR TWO
2909,Biryani Bowl,Biryani,--,32 MINS,250 FOR TWO
2910,McCafe by McDonald's,"American, Beverages, Desserts",--,31 MINS,250 FOR TWO
2911,Miami Shakes & More,"Waffle, Bakery, Ice Cream, Desserts, Beverages",4.8,26 MINS,200 FOR TWO
2912,Swaad the paratha house & more,Indian,--,32 MINS,200 FOR TWO
2913,Hotel RadhaKrishna World Of Veg,"North Indian, South Indian, Desserts, Street Food, Beverages",3.9,30 MINS,350 FOR TWO
2914,Momo Guy,"Tibetan, Asian, Desserts, Beverages",4.8,35 MINS,200 FOR TWO
2915,The Chef's Way Cafe,"Mexican, Italian, American, French",--,34 MINS,500 FOR TWO
2916,Mummy Ki Roti,"Home Food, Thalis, North Indian, Chinese",--,32 MINS,250 FOR TWO
2917,Thali Joy,North Indian,--,32 MINS,200 FOR TWO
2918,CHINA WALE,Chinese,3.0,37 MINS,500 FOR TWO
2919,DHABA CURRY,"North Indian, Chinese, Biryani",--,33 MINS,450 FOR TWO
2920,HUNGRY KYA MOMOS,Chinese,--,32 MINS,200 FOR TWO
2921,Box@69,"North Indian, Chinese",--,32 MINS,550 FOR TWO
2922,Chinese@69,Combo,--,32 MINS,300 FOR TWO
2923,Budget Thalis,Thalis,--,32 MINS,300 FOR TWO
2924,Symphony,"Indian, Chinese, Continental",4.4,37 MINS,300 FOR TWO
2925,Jyoti Restaurant,"North Indian, South Indian, Beverages, Ice Cream, Chinese, Snacks",4.3,31 MINS,300 FOR TWO
2926,Churro Mania,Desserts,4.5,29 MINS,300 FOR TWO
2927,Hotel Real Taste,"Chinese, Indian, Mughlai",3.9,33 MINS,250 FOR TWO
2928,Pizza Hut,Pizzas,3.6,35 MINS,350 FOR TWO
2929,Haldiram's Restaurant,"Chaat, North Indian, South Indian, Desserts, Fast Food, Beverages",4.2,30 MINS,300 FOR TWO
2930,Khana Khajana,"North Indian, Seafood, Chinese",--,35 MINS,300 FOR TWO
2931,Chicken Xperience By Venky's,Fast Food,4.1,23 MINS,200 FOR TWO
2932,Green Sampan,"Mughlai, North Indian, Chinese",4.3,31 MINS,500 FOR TWO
2933,community cafe 9 hills,"Juices, Desserts",--,28 MINS,200 FOR TWO
2934,MH 12 Pav Bhaji,"Fast Food, Street Food",4.1,21 MINS,250 FOR TWO
2935,Itminaan Matka Biryani - Slow Cooked,"Biryani, North Indian, Mughlai",4.3,28 MINS,400 FOR TWO
2936,La Creme,"Bakery, Fast Food, Snacks",--,27 MINS,750 FOR TWO
2937,Punjabi By Nature,Indian,4.0,28 MINS,1200 FOR TWO
2938,Sunny's cake,"Bakery, Desserts, Beverages",--,23 MINS,200 FOR TWO
2939,The Cake Art Cafe,"Bakery, Desserts",--,23 MINS,150 FOR TWO
2940,Cake Bite Cafe,"Bakery, Beverages",--,25 MINS,300 FOR TWO
2941,DAVANGERI BENNE DOSA HOTEL,South Indian,4.3,28 MINS,200 FOR TWO
2942,Potobachi Jatra,"Indian, North Indian, Maharashtrian, South Indian, Continental, Bengali, Oriya",4.3,24 MINS,100 FOR TWO
2943,Grill Corner,Italian,--,21 MINS,250 FOR TWO
2944,Varuna Pure Veg,"North Indian, Punjabi, Chinese, Biryani",4.0,29 MINS,250 FOR TWO
2945,Homely Meals @69,Home Food,4.0,31 MINS,150 FOR TWO
2946,The Chinese Factory,"Chinese, Asian, Beverages, Desserts, Snacks, Rs.40 Off",4.3,36 MINS,200 FOR TWO
2947,Cake And Cafe,"Fast Food, Snacks, Beverages",--,25 MINS,300 FOR TWO
2948,SANNYS CAKE AND CAFE,"Bakery, Fast Food, Snacks, Pizzas",--,25 MINS,200 FOR TWO
2949,Friends S Chinese Corner	,"Chinese, Indian",--,24 MINS,200 FOR TWO
2950,Chinese Recipes,Chinese,--,24 MINS,200 FOR TWO
2951,Sunny's cafe,"Snacks, Pizzas, American",--,29 MINS,200 FOR TWO
2952,Cafe SCC,"Fast Food, Snacks, Beverages",--,25 MINS,300 FOR TWO
2953,Unique Biryani,North Indian,--,23 MINS,500 FOR TWO
2954,Haldiram's Sweets and Namkeen,Indian,4.3,18 MINS,200 FOR TWO
2955,Food Express MH 14,Chinese,--,26 MINS,250 FOR TWO
2956,Bread Bash,Snacks,--,28 MINS,300 FOR TWO
2957,Shriya Pavbhaji,"Indian, Snacks",--,31 MINS,200 FOR TWO
2958,Shivanya Family Restaurant Veg NonVeg,"Biryani, Chinese, Indian",--,31 MINS,300 FOR TWO
2959,BANGALORE AYYANGAR BAKERY,Bakery,--,30 MINS,400 FOR TWO
2960,Mh12 Misal,Snacks,--,40 MINS,200 FOR TWO
